query_id,query,query_run,passage_id,passage,generated_answer
query_1,What is SM94?,1,[1],"image from SM94 M6: Potential RC & YIP/潜在原因及改进 at row 28, column 6. Related text: 1：Fix Location(QP  level)：UBY：Environment/环境：Uball Jig：Defect mapping/缺陷分布(example)：A long, narrow indentation along the edge of the unit.：Magnetic force caused contact mark：1.Magnetic force distribution optimization and re-start validation for SM94：Historical investigation report/历史调查报告.","SM94 refers to a defect characterized by a **visual discernable depression on the solder resist (SR) surface** [ID:3][ID:14]. It is described as a dent that can be observed during inspection, with specific definitions and criteria depending on the mode (M1, M3, etc.) and location:

*   **M1 Mode:** The defect appears as a dent on all Plastic Body Areas (including SR under BGA/LGA pads) and C4 Areas [ID:14].
*   **M3 Mode:** The defect is described as undulation on the Top side SR, appearing as tidy and regular unflatness [ID:3].
*   **General Description:** It involves dents on the SR surface which may look smooth without broken/scratch/crack, or not smooth with slight broken/scratch/crack depending on the cause [ID:6][ID:9].

**Rejection Criteria:**
*   A single SR dent is rejected if it is **>40 mils (approx. >1mm)** in any direction and visible at POR inspection magnification [ID:15][ID:17].
*   Specific rejection conditions include dents on the Plastic Body >1mm or dents crossing two metal traces >1mm [ID:15][ID:17].
*   However, an SR dent is **acceptable** if there is no SR damage/crack and no underlying metal exposure or inner layer deformation/damage, regardless of size [ID:15][ID:17].

**Potential Causes (Root Causes):**
The defect can arise from various processes and factors, including:
*   **SLY (Lamination):** Issues with the Lamination module, such as high temperature recipes causing ABF bleed-out/undulation, or insufficient SR fill in areas with dense circuitry or low copper density [ID:1][ID:10][ID:12][ID:19].
*   **Environment (Foreign Material - FM):** FM attached to rubber/SUS stages, exposure tables, tester fixtures, or UBY/LSC tables causing dents [ID:5][ID:6][ID:9][ID:13][ID:16][ID:20].
*   **Assembly (M6/M7):** Magnetic force from Uball Jigs or LSC Jigs causing contact marks that appear as long, narrow indentations along the unit edge [ID:0][ID:4][ID:7][ID:8].
*   **Material:** Abnormal protrusion or FM in the Carrier film [ID:2]. [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
query_1,What is SM94?,1,[2],"- SM94 M3: Potential RC & YIP/潜在原因及改进
- No.: 1
- Distribution/分布: defect at unit edge,and defect units at panel edge
- Potential Impact Factor(Process)/潜在影响因素(制程）: BLY
- Type/类别
(5M1E): Method/法
- Sub-factor/子因数: Lamination module
- Defect mapping/缺陷分布: Defect mapping/缺陷分布
- Defect further description/缺陷深入阐述: Unit edge undulation at full panels edge
- Potential RC/潜在根源: BLY use High Temp recipe then lead to  ABF serious bleed out/undulation on the edge of the panel
- Improvement Action/改进行动: 1.BLY reduce High Temp recipe layer;
2.add Laser trimming to remove ABF bleed out;
- Historical investigation report/历史调查报告: Historical investigation report/历史调查报告",
query_1,What is SM94?,1,[3],"- SM94 M1: Potential RC & YIP/潜在原因及改进
- No.: 5
- Distribution/分布: Random
- Potential Impact Factor(Process)/潜在影响因素(制程）: SLY
- Type/类别
(5M1E): Mateiral/料
- Sub-factor/子因数: Carrier film
- Defect mapping/缺陷分布(example): Defect mapping/缺陷分布(example)
- Defect further description/缺陷深入阐述: dense small dents on unit,random on full panels
- Potential RC/潜在根源: 1.abnormal protrusion or FM in the Carrier film;
2.FM from carrier film
- Improvement Action/改进行动: 1.Carrier film supplier improve film surface performance;
2.Clean FM from carrier film before installation;
3.Clean stage after carrier film installation
- Historical investigation report/历史调查报告: Historical investigation report/历史调查报告",
query_1,What is SM94?,1,[4],"- SM94 M3: Defect Information/缺陷详情
- Defect Information/缺陷详情: Defect Code/缺陷代码：SM94；Defect decription/缺陷描述：Visual discernable depression on the solder resist. Surface.
可辨别的在阻焊上的凹陷.；Mode/模式：M3；Mode description/模式描述：Undulation on Top side SR(tidy and regular unflat)
正面SR有规则性的不平整凹陷；Owner process/责任制程：SLY/BLY；Owner department/责任部门：SRSF/Build Up；Customer/客户：All；Product Group/产品：All( Build Up: IKx)",
query_1,What is SM94?,1,[5],"- SM94 M6: Potential RC & YIP/潜在原因及改进
- No.: 1
- Distribution/分布: Fix Location(QP  level)
- Potential Impact Factor(Process)/潜在影响因素(制程）: UBY
- Type/类别
(5M1E): Environment/环境
- Sub-factor/子因数: Uball Jig
- Defect mapping/缺陷分布(example): Defect mapping/缺陷分布(example)
- Defect further description/缺陷深入阐述: A long, narrow indentation along the edge of the unit.
- Potential RC/潜在根源: Magnetic force caused contact mark
- Improvement Action/改进行动: 1.Magnetic force distribution optimization and re-start validation for SM94

- Historical investigation report/历史调查报告: Historical investigation report/历史调查报告",
query_1,What is SM94?,1,[6],"image from SM94 M1: Potential RC & YIP/潜在原因及改进 at row 28, column 6. Related text: 1：Fix Location(FP Level)：SLY：Environment/环境：SLY Lamination rubber/Flatten stage：Defect mapping/缺陷分布(example)：Dent on fixed location of the full panels.   
The dent on SR surface looks smooth and no broken/scratch/crack：FM attach on rubber/SUS stage etc. which is not easy to remove.Panels touch on the stage/rubber, caused dent.：1.Regular machine PM to clean FM,and to reduce parts abrasion;
2.Collect FM: add sticky paper above and around rubber/SUS stage;
3.Clean FM from rubber/SUS stage towards one direction to avoid contaminate again;
4.Inspect first 2 panels per lot to reduce potential impact scope;
5.Control environment FM by APC chart;：Historical investigation report/历史调查报告.",
query_1,What is SM94?,1,[7],"- SM94 M1: Potential RC & YIP/潜在原因及改进
- No.: 1
- Distribution/分布: Fix Location(FP Level)
- Potential Impact Factor(Process)/潜在影响因素(制程）: SLY
- Type/类别
(5M1E): Environment/环境
- Sub-factor/子因数: SLY Lamination rubber/Flatten stage
- Defect mapping/缺陷分布(example): Defect mapping/缺陷分布(example)
- Defect further description/缺陷深入阐述: Dent on fixed location of the full panels.   
The dent on SR surface looks smooth and no broken/scratch/crack
- Potential RC/潜在根源: FM attach on rubber/SUS stage etc. which is not easy to remove.Panels touch on the stage/rubber, caused dent. 
- Improvement Action/改进行动: 1.Regular machine PM to clean FM,and to reduce parts abrasion;
2.Collect FM: add sticky paper above and around rubber/SUS stage;
3.Clean FM from rubber/SUS stage towards one direction to avoid contaminate again;
4.Inspect first 2 panels per lot to reduce potential impact scope;
5.Control environment FM by APC chart;
- Historical investigation report/历史调查报告: Historical investigation report/历史调查报告",
query_1,What is SM94?,1,[8],"- SM94 M7: Potential RC & YIP/潜在原因及改进
- No.: 1
- Distribution/分布: Fix Location(QP  level)
- Potential Impact Factor(Process)/潜在影响因素(制程）: LSC
- Type/类别
(5M1E): Environment/环境
- Sub-factor/子因数: LSC Jig
- Defect mapping/缺陷分布(example): Defect mapping/缺陷分布(example)
- Defect further description/缺陷深入阐述: A long, narrow indentation along the edge of the unit.
- Potential RC/潜在根源: Magnetic force caused contact mark
- Improvement Action/改进行动: 1.Magnetic force distribution optimization and re-start validation for SM94

- Historical investigation report/历史调查报告: Historical investigation report/历史调查报告",
query_1,What is SM94?,1,[9],"image from SM94 M7: Potential RC & YIP/潜在原因及改进 at row 28, column 6. Related text: 1：Fix Location(QP  level)：LSC：Environment/环境：LSC Jig：Defect mapping/缺陷分布(example)：A long, narrow indentation along the edge of the unit.：Magnetic force caused contact mark：1.Magnetic force distribution optimization and re-start validation for SM94：Historical investigation report/历史调查报告.",
query_1,What is SM94?,1,[10],"- SM94 M1: Potential RC & YIP/潜在原因及改进
- No.: 4
- Distribution/分布: Fix Location(unit level)
- Potential Impact Factor(Process)/潜在影响因素(制程）: ETS
- Type/类别
(5M1E): Environment/环境
- Sub-factor/子因数: Tester fixture
- Defect mapping/缺陷分布(example): Defect mapping/缺陷分布(example)
- Defect further description/缺陷深入阐述: Dent on fixed location of the units   
The dent on SR surface looks not smooth with slight broken/scratch/crack,and looks more white than dent caused SLY/SXP
- Potential RC/潜在根源: FM on E-test fixture
- Improvement Action/改进行动: 1.Modify fixture structure to reduce contact area;
2.first 2 panels and mid-process inspection per lot to reduce potential impact scope;
- Historical investigation report/历史调查报告: Historical investigation report/历史调查报告",
